"cuota","linea","modelo","variante","precioPublico70","derechoSuscripcion","iva","totalSuscripcion","cuotaPura","cargaAdminSuscripcion","iva21","cuotaMensual","pagoAdjudicacion30","Plan","Producto","Imagen"
"84","Furgón","Sprinter 411CDI Street Furgón 3250 TN Versión 1 con Aire Acondicionado","F41N22A1","1196882,4","23937,65","5026,91","28964,56","14248,6","1709,83","359,06","16448,03","512949,6","Plan 70/30","",""
"84","Furgón","Sprinter 411CDI Street Furgón 3250 TN Versión 2 con Aire Acondicionado","F41N69A1","1209415,2","24188,3","5079,54","29267,84","14397,8","1727,74","362,83","16620,28","518320,8","Plan 70/30","",""
"84","Furgón","Sprinter 415 CDI Furgón 3250 TN Mixto 4+1 con Aire Acondicionado","F41NM5A1","1218814,8","24376,3","5119,02","29495,32","14509,7","1741,16","365,64","16749,43","522349,2","Plan 70/30","",""
"84","Furgón","Sprinter 415 CDI Furgón 3665 TE Versión 1 con Aire Acondicionado","F42E00A1","1353542,4","27070,85","5684,88","32755,73","16113,6","1933,63","406,06","18600,92","580089,6","Plan 70/30","",""
"84","Furgón","Sprinter 415 CDI Furgón 3665 TE Mixto 4+1 con Aire Acondicionado","F42EM1A1","1391140,8","27822,82","5842,79","33665,61","16561,2","1987,34","417,34","19117,61","596203,2","Plan 70/30","",""
"84","Furgón","Sprinter 415 CDI Furgón 3665 TE Versión 2 con Aire Acondicionado","F42E50A1","1362942","27258,84","5724,36","32983,2","16225,5","1947,06","408,88","18730,09","584118","Plan 70/30","",""
"84","Furgón","Sprinter 415 CDI Furgón 4325 TE Versión 2 con Aire Acondicionado","F43E50A1","1384874,4","27697,49","5816,47","33513,96","16486,6","1978,39","415,46","19031,49","593517,6","Plan 70/30","",""
"84","Furgón","Sprinter 515 CDI Furgón 4325 TE Versión 2 con Aire Acondicionado","F53E50A1","1516468,8","30329,38","6369,17","36698,55","18053,2","2166,38","454,94","20839,92","649915,2","Plan 70/30","",""
"84","Furgón","Sprinter 515 CDI Furgón 4325 XL TE Versión 2 con Aire Acondicionado","F54E00A1","1607331,6","32146,63","6750,79","38897,42","19134,9","2296,19","482,2","22088,6","688856,4","Plan 70/30","",""
"84","Combi","Sprinter 415 CDI Combi 3665 9+1 TN","K42E00A0","1638663,6","32773,27","6882,39","39655,66","19507,9","2340,95","491,6","22519,17","702284,4","Plan 70/30","",""
"84","Combi","Sprinter 415 CDI Combi 3665 15+1 TE","K42E00A0","1397407,2","27948,14","5869,11","33817,25","16635,8","1996,3","419,22","19203,73","598888,8","Plan 70/30","",""
"84","Combi","Sprinter 515 CDI Combi 4325 19+1","K54E00A0","2199506,4","43990,13","9237,93","53228,06","26184,6","3142,15","659,85","30226,49","942645,6","Plan 70/30","",""
"84","Chasis Cabina","Sprinter 415 CDI Chasis 3665 con Aire Acondicionado","C42N00A1","1140484,8","22809,7","4790,04","27599,74","13577,2","1629,26","342,14","15672,99","488779,2","Plan 70/30","",""
"84","Chasis Cabina","Sprinter 515 CDI Chasis 4325 con Aire Acondicionado","C53N00A1","1250146,8","25002,94","5250,62","30253,56","14882,7","1785,92","375,04","17180,01","535777,2","Plan 70/30","",""
